PlayerValue,DealerValue,BetAmount,BetType,Result,InitialBalance,FinalBalance
13,13,50,d,t,100,100
15,11,25.0,d,w,100,50
16,9,12.5,d,w,50,25.0
14,19,10,d,l,25.0,36.25
20,7,13.125,d,w,36.25,26.25
18,13,6.5625,d,w,26.25,13.125
13,11,3.28125,d,w,13.125,6.5625
8,20,10,d,l,6.5625,9.515625
14,17,10,d,l,9.515625,18.515625
16,13,4.2578125,d,w,18.515625,8.515625
9,9,4.2578125,d,t,8.515625,8.515625
19,21,10,d,l,8.515625,12.34765625
20,15,1.173828125,d,w,12.34765625,2.34765625
12,14,10,d,l,2.34765625,3.4041015624999997
14,13,-3.2979492187500004,d,w,3.4041015624999997,-6.595898437500001
